provincia	poblacion.ID	agebad	bascul	cacsol	carpla	chlluc	colcam	colliv	colmel	colpic	corcuc	crapyr	cyabri	cyachr	cycguj	elapar	eupchl	falspa	furruf	griaur	guigui	helfur	hylchr	ictpyr	lateul	lepang	leppla	lepver	macri	melcac	mimsat	mimtri	molbon	molruf	myibru	myifas	myimac	myimon	pacpol	parcor	parpit	pasdom	patmac	patpic	phastr	pipbon	pitsul	poldum	pooery	poomel	ramptoc	rupmag	salaur	salcoe	salsim	sapspa	satict	schphr	sersub	sicfla	sitgri	spimag	spocae	stuvul	synalb	tacleu	tarmaj	theacu	trhsay	troaed	turama	turchi	turruf	tyrmel	tyrsav	vanchi	venpas	xenalb	xoliru	zenaur	zoncap
Entre_Rios	Sauce_Montrull	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1
Corrientes	Carlos_Pellegrini	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1
Entre_Rios	La_Paz	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1
Buenos_Aires	Magdalena	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1
Buenos_Aires	La_Plata	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1
Jujuy	El_Carmen	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1
Catamarca	El_Rodeo	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1
Tucuman	Tucuman	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1
